id,customer_id,product_id,quantity,total,status,order_date
1,28,17,2,106.92,returned,2025-08-23
2,73,10,5,1691.6,returned,2026-04-07
3,53,14,6,446.34,shipped,2025-06-07
4,65,33,8,1638.96,completed,2026-05-03
5,71,6,7,2031.54,completed,2026-01-09
6,198,1,6,2132.28,pending,2026-02-05
7,42,41,5,48.05,cancelled,2025-04-20
8,144,36,7,1993.53,completed,2025-05-15
9,177,8,2,105.96,pending,2025-09-16
10,95,35,1,311.59,returned,2024-12-16
11,111,36,3,854.37,pending,2025-09-04
12,94,3,5,200.35,completed,2024-09-18
13,175,23,4,545.12,pending,2025-07-30
14,91,43,2,221.02,returned,2026-02-05
15,192,27,10,2916.9,pending,2025-02-16
16,46,16,3,673.05,cancelled,2026-07-20
17,189,2,3,115.08,shipped,2025-12-06
18,69,27,4,1166.76,pending,2024-10-21
19,98,45,2,880.48,completed,2026-07-09
20,52,31,4,178.64,cancelled,2025-05-10
21,59,23,5,681.4,pending,2026-02-28
22,103,2,4,153.44,shipped,2025-03-31
23,198,18,2,837.66,shipped,2026-06-13
24,103,23,9,1226.52,returned,2026-01-29
25,30,22,1,86.5,shipped,2024-12-19
26,68,12,10,4012.9,completed,2025-08-03
27,112,7,10,4047.1,shipped,2025-07-27
28,112,47,6,2119.5,returned,2024-08-29
29,99,33,2,409.74,returned,2024-11-04
30,12,13,5,499.2,cancelled,2025-03-27
31,138,1,9,3198.42,pending,2025-07-08
32,18,24,7,1023.4,shipped,2025-06-26
33,170,40,6,969.06,completed,2025-10-13
34,130,47,5,1766.25,shipped,2025-08-07
35,84,43,7,773.57,cancelled,2025-03-23
36,142,45,5,2201.2,pending,2025-10-18
37,171,13,7,698.88,cancelled,2024-11-22
38,158,44,3,1400.88,returned,2026-07-21
39,141,20,7,611.24,completed,2026-01-18
40,54,20,5,436.6,cancelled,2025-03-02
41,168,38,10,1231.5,shipped,2025-03-29
42,114,30,8,663.44,pending,2026-03-24
43,189,33,8,1638.96,pending,2025-08-20
44,73,43,2,221.02,returned,2025-12-27
45,86,43,10,1105.1,completed,2025-03-03
46,173,49,4,612.76,shipped,2026-03-15
47,38,15,4,936.0,completed,2025-04-22
48,122,3,4,160.28,returned,2025-12-01
49,117,50,2,939.54,cancelled,2026-07-13
50,50,41,10,96.1,cancelled,2025-09-26
51,63,32,7,2096.78,pending,2026-03-01
52,193,42,1,498.07,completed,2026-01-08
53,57,50,7,3288.39,pending,2025-12-11
54,119,45,9,3962.16,completed,2024-08-15
55,32,36,4,1139.16,cancelled,2025-07-08
56,171,9,8,1717.36,returned,2026-07-03
57,82,36,10,2847.9,cancelled,2026-02-19
58,110,40,9,1453.59,returned,2026-02-14
59,191,29,3,882.51,cancelled,2025-09-22
60,193,29,5,1470.85,pending,2026-01-05
61,197,41,5,48.05,returned,2025-09-26
62,71,32,4,1198.16,cancelled,2024-11-28
63,61,5,5,352.45,shipped,2025-10-29
64,139,22,6,519.0,completed,2025-10-23
65,60,9,3,644.01,cancelled,2026-04-02
66,181,45,3,1320.72,pending,2024-11-12
67,105,5,7,493.43,shipped,2025-12-06
68,107,35,8,2492.72,completed,2024-08-19
69,100,14,7,520.73,returned,2026-06-20
70,196,45,1,440.24,returned,2024-10-15
71,2,25,8,2661.04,shipped,2024-08-09
72,108,20,7,611.24,returned,2025-03-13
73,155,48,9,79.83,pending,2024-11-14
74,70,32,4,1198.16,cancelled,2025-12-13
75,100,32,1,299.54,shipped,2025-05-22
76,186,43,7,773.57,pending,2026-02-13
77,160,30,3,248.79,returned,2026-05-30
78,152,2,7,268.52,returned,2026-04-26
79,22,43,1,110.51,cancelled,2026-01-15
